table_id	hypothesis	label	strategies	table_rows
T1464A	John James Rickard Macleod died in a country outside of where he was born.	E	100000	['Died', 'Born']
T1464A	John James Rickard Macleod was at the top of his class on Astronomy when he attended the University of Massachusetts Boston.	N	001000	['Fields', 'Alma mater']
T1464A	John James Rickard Macleod was in his fifties when he died.	C	100000	['Died']
T1464A	"John James Rickard Macleod, FRS discovered insulin while still studying in University of
Massachusetts Boston."	N	001000	['Alma mater']
T1464A	John James Rickard Macleod, FRS faced death in the Spring of 1935.	C	100000	['Died']
T1464A	John James Rickard Macleod, FRS shared the Nobel Prize of in Physiology or Medicine 1923 with the other co-discoverer(s) of insulin.	N	001000	['Awards', 'Known for', 'Fields']
T1464A	John James Rickard Macleod, FRS was a British Nobel Prize winner.	C	100000	['Citizenship']
T1464A	John James Rickard Macleod, FRS was born early in the 19th century.	E	100000	['Born']
T1464A	The Nobel Prize was awarded to John James Rickard Macleod, FRS while in his twenties.	E	100000	['Awards', 'Born']
T1464B	The Order of Culture was awarded to John James Rickard Macleod, FRS 	E	010000	['Awards']
T1464B	John James Rickard Macleod, FRS was born in the 19th century.	E	010000	['Born']
T1464B	John James Rickard Macleod, FRS was a American noble prize winner.	C	010000	['Awards', 'Citizenship']
T1464B	John James Rickard Macleod, FRS shared the Order of Culture with his co-partner. 	N	000100	['Awards']
T1464B	John James Rickard Macleod, FRS was awarded Order of Culture while he was still in the university	N	000100	['Awards']
T1464B	John James Rickard Macleod, FRS faced death in the Spring of 2005	C	010000	['Died']
T1464B	John James Rickard Macleod was in his thirties when he died.	C	010000	['Died']
T1464B	John James Rickard Macleod was never good in his class when he attended the University of Massachusetts Boston.	N	000100	['Alma mater']
T1464B	John James Rickard Macleod died in the same country where he was born.	E	010000	['Born', 'Died']
T1464C	John James Rickard Macleod died in a country outside of where he was born.	C	000000	[]
T1464C	John James Rickard Macleod was at the top of his class when he attended the University of Aberdeen.	N	000000	[]
T1464C	John James Rickard Macleod was in his fifties when he died.	E	000000	[]
T1464C	John James Rickard Macleod, FRS discovered insulin while still in university.	N	000000	[]
T1464C	John James Rickard Macleod, FRS faced death in the Spring of 1935.	E	000000	[]
T1464C	John James Rickard Macleod, FRS shared the Nobel Prize in Physiology or Medicine with the other co-discoverer(s) of insulin.	N	000000	[]
T1464C	John James Rickard Macleod, FRS was a British Nobel Prize winner.	E	000000	[]
T1464C	John James Rickard Macleod, FRS was born early in the 19th century.	C	000000	[]
T1464C	The Nobel Prize was awarded to John James Rickard Macleod, FRS while in his twenties.	C	000000	[]
