table_id	hypothesis	label	strategies	table_rows
T778A	Crystal Head Vodka cannot be seen through.	E	100000	['Color']
T778A	Crystal Head Vodka is more than half alcohol by volume.	E	100000	['Alcohol by volume']
T778A	Crystal Head Vodka originated north of the U.S.	C	100000	['Country of origin']
T778A	Crystal Head Vodka was introduced in a different country from where it originated.	C	100000	['Country of origin', 'Introduced']
T778A	Crystal Head Vodka was released in the USA.	C	100000	['Introduced']
T778A	Crystal Head Vodka has a yellowish color.	E	010000	['Color']
T778A	Crystal Head Vodka is sold in UK.	N	000100	[]
T778A	Crystal Head Vodka was developed in USA for years before 1898.	N	000100	[]
T778A	Crystal Head Vodka which is 110 proof has a red and gold label.	N	001000	[]
T778B	Crystal Head Vodka cannot be seen through.	E	100000	['Color']
T778B	Crystal Head Vodka is dark brown in colour.	E	110000	['Color']
T778B	Crystal Head Vodka is manafactured by Gazeta Sporturilor and sold in Canada.	N	001000	['Manufacturer']
T778B	Crystal Head Vodka was released in the Canada.	C	110000	['Introduced']
T778B	Crystal Head Vodka was developed in Canada for years before 2007 by its manufacturer Gazeta Sporturilor.	N	001000	[]
T778B	Crystal Head Vodka was introduced in the same country from where it was originated.	C	110000	['Country of origin', 'Introduced']
T778B	Crystal Head Vodka is less than half alcohol by volume.	E	010000	['Alcohol by volume']
T778B	Crystal Head Vodka is an American vodka has a blue and gold label.	N	001000	[]
T778B	Crystal Head Vodka originated in South America.	C	000100	['Country of origin']
T778C	Crystal Head Vodka is a clear alchol.	E	010000	['Color']
T778C	Russian origin Crystal Head Vodka is sold in Canada.	N	001000	[]
T778C	Crystal Head Vodka was released in Russia.	C	110000	['Introduced']
T778C	Crystal Head Vodka can be seen through.	E	010000	['Color']
T778C	Crystal Head Vodka started developing in Russia during world war 1.	N	000100	[]
T778C	Crystal Head Vodka was introduced and originated in Russia.	C	110000	['Country of origin', 'Introduced']
T778C	Crystal Head Vodka is a strong alcohol with 40% alcohol by volume.	E	000100	['Alcohol by volume']
T778C	Crystal Head Vodka manafactured by Globefill Inc. has a blue and gold label.	N	001000	[]
T778C	Crystal Head Vodka originated in the U.S.	C	100000	['Country of origin']
