table_id	hypothesis	label	strategies	table_rows
T323A	Czech Republic gained independence in 1993.	E	010000	['Czech Republic became independent ']
T323A	Czech Republic joined the European Union for protection from Russia in 2004.	N	001000	['Joined the European Union']
T323A	Czech Republic lost independence in late the 20th century.	C	010000	['Czech Republic became independent ']
T323A	Kingdom of Bohemia was established after the Duchy of Bohemia.	E	010000	['Duchy of Bohemia ', 'Kingdom of Bohemia ']
T323A	Czech Republic separated from the Austria-Hungary Empire less than 100 years ago.	C	010000	['Czechoslovakia (Independence from Austria-Hungary)']
T323A	The Czech Republic became part of the European Union after independence.	E	010000	['Czech Republic became independent ', 'Joined the European Union']
T323A	Bohemians and Czechs are  different people.	N	000100	[]
T323A	The Czech Republic did not come out of Czechoslovakia.	C	010000	['Czechoslovakia (Independence from Austria-Hungary)', 'Czech Republic became independent ']
T323A	Czech Republic was one of the first countries to join the European Union in 2004.	N	001000	[]
T323B	Czech Republic separated from the Austria-Hungary Empire over 100 years ago.	C	100000	['Czechoslovakia (Independence from Austria-Hungary)']
T323B	Kingdom of Bohemia was esatablished before the Duchy of Bohemia.	E	100000	['Duchy of Bohemia ', 'Kingdom of Bohemia ']
T323B	The Czech Republic came out of Czechoslovakia.	C	100000	['Czech Republic became independent ', 'Federalization of Czechoslovakia (Czech Socialist Republic)']
T323B	The Czech Republic was part of the European Union before independence.	E	100000	['Czech Republic became independent ', 'Joined the European Union']
T323B	Bohemians and Czechs are the same people who joined the European Union on 1 December 1918.	N	001000	['Joined the European Union']
T323B	Czech Republic which gain independence on 1 January 1993, was one of the first countries to join the European Union.	N	001000	['Czech Republic became independent ']
T323B	Czech Republic did not gain independence in late the 20th century.	C	010000	['Czech Republic became independent ']
T323B	Czech Republic joined the European Union for protection from Spain.	N	000100	[]
T323B	Kingdom of Bohemia existed in the 12th century.	E	000010	['Kingdom of Bohemia ']
T323C	Bohemians and Czechs are the same people.	N	000000	[]
T323C	Czech Republic gained independence in late the 20th century.	E	000000	[]
T323C	Czech Republic joined the European Union for protection from Russia.	N	000000	[]
T323C	Czech Republic lost independence in 2004.	C	000000	[]
T323C	Czech Republic separated from the Austria-Hungary Empire over 100 years ago.	E	000000	[]
T323C	Kingdom of Bohemia was esatablished before the Duchy of Bohemia.	C	000000	[]
T323C	The Czech Republic came out of Czechoslovakia.	E	000000	[]
T323C	The Czech Republic was part of the European Union before independence.	C	000000	[]
T323C	Czech Republic was one of the first countries to join the European Union.	N	000000	[]
