table_id	hypothesis	label	strategies	table_rows
T1456A	Jupiter has a very high eccentricity.	C	000000	[]
T1456A	Jupiter has more than a dozen known satellites.	C	100000	['Known satellites']
T1456A	Jupiter takes over 10 years to orbit the sun.	E	000000	[]
T1456A	Scientists are still studying to find satellites of Jupiter.	N	000000	[]
T1456A	The inclination of Jupiter to the Sun's equator is greater than half a dozen degrees.	E	000000	[]
T1456A	The orbital period of Jupiter is more than 12 times as long as Earth's.	C	000000	[]
T1456A	The orbital speed of Jupiter is less than 5 km/s.	E	100000	['Average orbital speed']
T1456A	More satellites were found orbiting Jupiter since 2018.	N	000000	[]
T1456A	Jupiter is the largest planet in the solar system and has more than 5 satellites.	N	001000	['Known satellites']
T1456B	Jupiter has a very high eccentricity.	C	000000	[]
T1456B	Jupiter takes over 10 years to orbit the sun.	E	000000	[]
T1456B	More satellites were found orbiting Jupiter since 2018.	N	000000	[]
T1456B	Scientists are still studying to find satellites of Jupiter.	N	000000	[]
T1456B	The inclination of Jupiter to the Sun's equator is greater than half a dozen degrees.	E	000000	[]
T1456B	The orbital period of Jupiter is more than 12 times as long as Earth's.	C	000000	[]
T1456B	Jupiter has less than a dozen known satellites.	C	010000	['Known satellites']
T1456B	The orbital speed of Jupiter is more than 5 km/s.	E	010000	['Average orbital speed']
T1456B	Jupiter is the largest planet in the solar system and it's inclination to the sun's axis is less than 10°.	N	001000	['Inclination']
T1456C	Jupiter has a very high eccentricity.	C	000000	[]
T1456C	Jupiter takes over 10 years to orbit the sun.	E	000000	[]
T1456C	More satellites were found orbiting Jupiter since 2018.	N	000000	[]
T1456C	Scientists are still studying to find satellites of Jupiter.	N	000000	[]
T1456C	The inclination of Jupiter to the Sun's equator is greater than half a dozen degrees.	E	000000	[]
T1456C	The orbital period of Jupiter is more than 12 times as long as Earth's.	C	000000	[]
T1456C	Jupiter is the largest planet in the solar system and has less than a dozen known satellites.	C	000100	['Known satellites']
T1456C	The orbital speed of Jupiter is more than 5 km/s and Jupiter has less than 100 known satellites.	E	000100	['Known satellites', 'Average orbital speed']
T1456C	Jupiter is the largest planet in the solar system and has a synodic period greater than 300 days.	N	001000	['Synodic period']
