table_id	hypothesis	label	strategies	table_rows
T1882A	It has 50 issues	C	000001	['No. of issues']
T1882A	Jack of Fables became a collector's item.	N	000000	[]
T1882A	Jack of Fables is a comic series	C	000001	['Format']
T1882A	Jack of Fables is a limited series.	C	000000	[]
T1882A	Jack of Fables is published on a monthly schedule.	E	000000	[]
T1882A	Jack of Fables published weekly for six years.	C	000000	[]
T1882A	Jack of Fables was a monthly comic book series.	C	000001	['Schedule', 'Publisher']
T1882A	it is still being produced today	C	000000	[]
T1882A	Jack of Fables gained popularity with its 10th issue in 2004.	N	001000	['Publication date']
T1882B	It has 50 issues	C	000001	['No. of issues']
T1882B	Jack of Fables became a collector's item.	N	000000	[]
T1882B	Jack of Fables is a limited series.	C	000000	[]
T1882B	Jack of Fables is published on a monthly schedule.	E	000000	[]
T1882B	Jack of Fables published weekly for six years.	C	000000	[]
T1882B	Jack of Fables was a monthly comic book series.	C	000001	['Schedule', 'Publisher']
T1882B	it is still being produced today	C	000000	[]
T1882B	Jack of Fables is not a limited series	C	010000	['Format']
T1882B	Jack of Fables gained popularity with its 7th issue in the U.S.	N	001000	['No. of issues']
T1882C	It has 50 issues	C	000001	['No. of issues']
T1882C	Jack of Fables became a collector's item.	N	000000	[]
T1882C	Jack of Fables is a limited series.	C	000000	[]
T1882C	Jack of Fables is published on a monthly schedule.	E	000000	[]
T1882C	Jack of Fables published weekly for six years.	C	000000	[]
T1882C	it is still being produced today	C	000000	[]
T1882C	Jack of Fables is a monthly comic series	C	001000	['Schedule', 'Publisher']
T1882C	Jack of Fables was a monthly comic book series published in the 1990s.	C	010000	['Schedule', 'Publisher', 'Publication date']
T1882C	Jack of Fables gained popularity with its 10th issue in which Karl Hanke was the main character.	N	001000	['Main character(s)', 'No. of issues']
