table_id	hypothesis	label	strategies	table_rows
T578A	Close Encounters of the Third Kind grossed over a quarter billion dollars at the box office over it's budget.	C	100000	['Box office', 'Budget']
T578A	Close Encounters of the Third Kind was a failure at the box office.	E	100000	['Box office', 'Budget']
T578A	Close Encounters of the Third Kind was produced and distributed by the same company.	E	100000	['Distributed by', 'Production Company']
T578A	A husband and wife duo produced the Hindi movie  Close Encounters of the Third Kind.	N	001000	[]
T578A	Close Encounters of the Third Kind is a Tim Burton movie released in 1977 with a runtime of 110 minutes.	E	010010	['Directed by', 'Release date', 'Running time']
T578A	Close Encounters of the Third Kind has inspired many future Hindi films and TV shows, namely the show Stranger Things.	N	001000	[]
T578A	Close Encounters of the Third Kind is produced by Akihito and directed by Tim Burton.	C	110000	['Directed by', 'Produced by']
T578A	Close Encounters of the Third Kind was a comedy movie.	N	000100	[]
T578A	Close Encounters of the Third Kind was a Hollywood film, written and directed by the same person.	C	100000	['Directed by', 'Written by']
T578B	Close Encounters of the Third Kind is science fiction film directed by Stephen Spielberg.	C	100000	['Directed by']
T578B	Close Encounters of the Third Kind was produced and distributed by different companies.	E	110000	['Production Company', 'Distributed by']
T578B	A brother and sister duo produced Close Encounters of the Third Kind.	N	000100	[]
T578B	Close Encounters of the Third Kind cost over a quarter billion dollars over it's box office.	C	110000	['Box office', 'Budget']
T578B	Close Encounters of the Third Kind released on September 11, 1977 and has a runtime of 98 minutes.	E	000010	['Release date', 'Running time']
T578B	Close Encounters of the Third Kind made in Great Britain has inspired many future films and TV shows, namely the show Stranger Things.	N	001000	[]
T578B	Close Encounters of the Third Kind was a success at the box office.	E	110000	['Box office', 'Budget']
T578B	Close Encounters of the Third Kind was a romantic movie.	N	000100	[]
T578B	Close Encounters of the Third Kind was a Hollywood film written by Richard Dreyfuss and starring Steven Spielberg.	C	000100	['Starring', 'Written by']
T578C	Close Encounters of the Third Kind was a failure at the box office.	E	100000	['Box office', 'Budget']
T578C	Close Encounters of the Third Kind was produced and distributed by Columbia Pictures.	E	110000	['Distributed by', 'Production Company']
T578C	A husband and wife duo starred in the movie Close Encounters of the Third Kind.	N	000100	[]
T578C	Close Encounters of the Third Kind grossed over half a billion dollars at the box office over it's budget.	C	110000	['Box office', 'Budget']
T578C	Close Encounters of the Third Kind was produced by Elizabeth II with a budget of $665 million.	E	000010	['Budget', 'Produced by']
T578C	Close Encounters of the Third Kind was inspired by many past films and TV shows.	N	000100	[]
T578C	Close Encounters of the Third Kind is written by John Hughes and stars Paldo.	C	000010	['Starring', 'Written by']
T578C	Close Encounters of the Third Kind was a action movie.	N	000100	[]
T578C	Close Encounters of the Third Kind was edited by David Rennie and produced by Victoria Pictures under Elizabeth II. 	C	000010	['Production Company', 'Edited by']
